Full Name,Email,Mobile,City,State,Lead Status,Source,Lead Date
Amit Patel,,9814580783.0,,Delhi,,Google Ads,2025-05-12
Sunita Singh,lead124@example.com,9804985652.0,Pune,Maharashtra,Lost,Website,28-10-2025
Vikram Gupta,lead648@example.com,9757833914.0,Delhi,Delhi,,Google Ads,30/05/2025
Vikram Das,lead687@example.com,9344804182.0,Pune,Karnataka,,Social Media,2025-11-28
Vikram Kumar,lead639@example.com,9709570984.0,Kochi,Telangana,Follow Up,Google Ads,2026/03/12
Rahul Joshi,lead507@example.com,9209443414.0,Mumbai,Maharashtra,Lost,Google Ads,2025/10/22
Sanjay Sharma,lead907@example.com,9178199573.0,Hyderabad,Telangana,,Website,14/01/2025
Amit Gupta,lead987@example.com,9402174655.0,,Telangana,New,Social Media,10-04-2025
Priya Thapa,,9714497698.0,Hyderabad,Kerala,Qualified,Referral,2026-05-07
Sunita Kumar,lead53@example.com,9010293699.0,Kochi,Telangana,,Referral,2025-03-13
Deepak Thapa,lead866@example.com,9265687570.0,Bengaluru,Kerala,Lost,Social Media,2025/02/11
Amit Singh,lead928@example.com,9664141865.0,,Karnataka,Lost,Referral,15/05/2026
Priya Reddy,lead807@example.com,9689313850.0,Delhi,Delhi,New,Website,2025-03-27
Anjali Das,lead776@example.com,9229169277.0,Bengaluru,Karnataka,Lost,Referral,2025-11-20
Priya Kumar,lead939@example.com,9183414557.0,Pune,Maharashtra,Lost,Social Media,2025-11-14
Vikram Verma,lead957@example.com,9397167622.0,Hyderabad,Maharashtra,Qualified,Website,31-01-2026
Vikram Gupta,lead491@example.com,9470794292.0,Mumbai,Karnataka,,Social Media,11/02/2025
Sanjay Das,lead78@example.com,9000012102.0,Pune,Kerala,Follow Up,Referral,19-07-2025
Neha Kumar,lead349@example.com,9541157872.0,Mumbai,Telangana,New,Google Ads,2026-06-21
Rahul Thapa,lead493@example.com,9347895913.0,Pune,Maharashtra,Qualified,Website,2025/06/24
Neha Thapa,lead469@example.com,9184375800.0,Delhi,Delhi,Qualified,Social Media,2026/03/28
Sanjay Joshi,lead557@example.com,9181278068.0,,Karnataka,,Website,28/04/2025
Megha Patel,lead1016@example.com,9710268881.0,Hyderabad,Kerala,New,Website,2025-02-28
Neha Das,lead948@example.com,9184705373.0,,Kerala,Follow Up,Website,2025/11/16
Amit Sharma,lead1091@example.com,9241427864.0,Hyderabad,Maharashtra,Follow Up,Google Ads,2026-01-21
Neha Patel,lead908@example.com,9883811760.0,Delhi,Maharashtra,Qualified,Google Ads,2026-04-28
Deepak Thapa,lead734@example.com,9618087879.0,,Kerala,Lost,Google Ads,13/02/2025
Megha Reddy,lead604@example.com,9351787798.0,Hyderabad,Kerala,,Website,2026/02/13
Vikram Patel,lead35@example.com,9459555546.0,Pune,Telangana,Lost,Social Media,20/03/2025
Deepak Gupta,lead49@example.com,9137782111.0,Kochi,Karnataka,Qualified,Social Media,2025/07/23
Sunita Gupta,lead979@example.com,9555646934.0,Kochi,Delhi,Qualified,Referral,10-04-2026
Megha Patel,lead1036@example.com,9618485362.0,Hyderabad,Maharashtra,Follow Up,Google Ads,2025-08-08
Neha Kumar,lead696@example.com,9988931783.0,Mumbai,Delhi,Qualified,Google Ads,2025-03-21
Vikram Joshi,lead329@example.com,9627364353.0,Pune,Kerala,,Social Media,29/04/2025
Deepak Kumar,lead640@example.com,9875564090.0,Pune,Karnataka,Follow Up,Social Media,2025/03/27
Megha Reddy,lead752@example.com,9668356973.0,Hyderabad,Telangana,Follow Up,Referral,2026-04-06
Vikram Reddy,lead1006@example.com,9737761795.0,Pune,Karnataka,New,Social Media,2026/05/25
Megha Reddy,lead434@example.com,9161846776.0,Pune,Maharashtra,New,Website,14/10/2025
Megha Kumar,lead283@example.com,9358514894.0,Delhi,Delhi,Follow Up,Website,04/11/2025
Anjali Sharma,lead305@example.com,9228579425.0,Pune,Telangana,Lost,Referral,04/02/2025
Deepak Kumar,lead773@example.com,9753320348.0,Mumbai,Delhi,Qualified,Social Media,2025/11/18
Rahul Patel,lead399@example.com,9123668876.0,Hyderabad,Telangana,,Google Ads,26-04-2026
Neha Das,lead32@example.com,9085570668.0,Kochi,Delhi,Qualified,Social Media,2026/04/30
Priya Verma,lead472@example.com,9686295425.0,Kochi,Karnataka,Follow Up,Google Ads,2025/02/08
Rahul Patel,lead573@example.com,9555275422.0,Kochi,Kerala,Follow Up,Referral,06-05-2025
Amit Singh,lead550@example.com,,Bengaluru,Delhi,New,Google Ads,14/02/2025
Sanjay Patel,lead247@example.com,9099422685.0,Mumbai,Delhi,Qualified,Social Media,2025/12/03
Megha Singh,lead36@example.com,9306083693.0,Delhi,Karnataka,,Website,2026-05-18
Sanjay Joshi,lead785@example.com,9814863674.0,Bengaluru,Telangana,Lost,Website,14/07/2025
Deepak Verma,lead69@example.com,9805467219.0,Hyderabad,Maharashtra,Qualified,Referral,16-05-2026
Neha Gupta,lead669@example.com,9676041489.0,Delhi,Telangana,Lost,Social Media,2025-10-05
Anjali Gupta,lead79@example.com,9196570133.0,Kochi,Maharashtra,Lost,Website,2025/05/03
Priya Das,lead252@example.com,9547110415.0,Delhi,Kerala,Qualified,Referral,09-03-2026
Sunita Patel,lead715@example.com,9918206789.0,Hyderabad,Maharashtra,Follow Up,Google Ads,2026/06/15
Deepak Singh,lead533@example.com,9630547434.0,,Karnataka,Qualified,Referral,2026/04/02
Rahul Gupta,lead43@example.com,9500487939.0,,Telangana,Qualified,Website,2025/01/16
Amit Kumar,lead642@example.com,9387277685.0,Bengaluru,Kerala,Follow Up,Website,2025/04/16
Amit Gupta,lead413@example.com,9825973912.0,Hyderabad,Kerala,,Referral,04/11/2025
Sunita Reddy,lead522@example.com,9541276084.0,Kochi,Kerala,New,Referral,2025/06/28
Megha Kumar,lead831@example.com,9251984994.0,Mumbai,Telangana,Lost,Google Ads,2026-06-07
Vikram Patel,lead537@example.com,9767124292.0,Pune,Telangana,Qualified,Referral,15/12/2025
Anjali Joshi,lead587@example.com,9785098756.0,Hyderabad,Delhi,,Website,2026/06/28
Rahul Reddy,lead4@example.com,9520287508.0,,Karnataka,Qualified,Referral,08/11/2025
Rahul Joshi,lead402@example.com,9723346538.0,Mumbai,Kerala,Follow Up,Social Media,18/05/2025
Megha Kumar,lead346@example.com,9872352560.0,Mumbai,Karnataka,New,Google Ads,2026-02-22
Anjali Patel,lead565@example.com,9773526021.0,Hyderabad,Maharashtra,Qualified,Social Media,2025/07/02
Sunita Kumar,lead497@example.com,9997018094.0,Mumbai,Telangana,New,Referral,05/09/2025
Anjali Kumar,lead198@example.com,9059084752.0,Bengaluru,Maharashtra,New,Google Ads,2026-06-14
Priya Sharma,lead33@example.com,9703839252.0,Hyderabad,Delhi,New,Social Media,2025-03-07
Neha Kumar,lead349@example.com,9541157872.0,Mumbai,Telangana,New,Google Ads,10/08/2025
Deepak Thapa,lead197@example.com,9363673762.0,Mumbai,Delhi,Lost,Website,12-08-2025
Sunita Sharma,lead716@example.com,9756264594.0,Pune,Kerala,Follow Up,Referral,2025/05/05
Neha Gupta,lead192@example.com,9355095116.0,Mumbai,Maharashtra,,Google Ads,2026-05-16
Amit Thapa,lead547@example.com,9748381858.0,Mumbai,Karnataka,,Google Ads,2025/04/26
Vikram Singh,lead737@example.com,9001597809.0,Delhi,Telangana,,Social Media,10/01/2026
Vikram Gupta,lead904@example.com,9568683479.0,Pune,Delhi,New,Google Ads,2026-04-07
Sanjay Singh,lead312@example.com,9511767050.0,Hyderabad,Maharashtra,New,Website,2026-05-20
Megha Patel,lead318@example.com,9265391841.0,Pune,Delhi,,Google Ads,2025-08-09
Amit Thapa,lead543@example.com,9543449649.0,Mumbai,Kerala,Follow Up,Referral,2026/02/20
Sunita Reddy,lead674@example.com,9762390966.0,Kochi,Kerala,Follow Up,Social Media,2026/05/20
Vikram Joshi,lead74@example.com,9801211873.0,Bengaluru,Maharashtra,Qualified,Google Ads,2025/01/26
Sunita Joshi,lead439@example.com,9781418526.0,Delhi,Telangana,Lost,Social Media,2026-04-24
Anjali Reddy,lead492@example.com,9292997004.0,Bengaluru,Kerala,Follow Up,Google Ads,2026/02/13
Priya Thapa,lead1012@example.com,9098034800.0,,Kerala,Lost,Referral,19/03/2025
Sanjay Sharma,lead863@example.com,9541385347.0,Delhi,Kerala,Qualified,Social Media,2025/03/30
Sunita Das,,9458293792.0,,Telangana,,Social Media,2026-04-26
Deepak Patel,lead859@example.com,9517874538.0,Hyderabad,Kerala,Qualified,Website,2025/04/12
Sanjay Thapa,lead667@example.com,9039254379.0,,Delhi,,Website,13-07-2025
Anjali Thapa,lead699@example.com,9646936853.0,,Telangana,Follow Up,Referral,2025/08/23
Sanjay Singh,lead937@example.com,9883263464.0,Hyderabad,Telangana,Follow Up,Social Media,23/02/2025
Neha Patel,lead579@example.com,9539992347.0,Pune,Telangana,Lost,Referral,2025/11/26
Vikram Reddy,lead352@example.com,9648097917.0,Mumbai,Telangana,New,Referral,15-01-2026
Megha Singh,lead528@example.com,9669482340.0,Hyderabad,Karnataka,Lost,Social Media,06-09-2025
Neha Verma,,9036311339.0,,Kerala,New,Google Ads,08-03-2025
Sunita Gupta,lead184@example.com,9389629501.0,Pune,Karnataka,Qualified,Referral,2026-04-01
Amit Joshi,lead1081@example.com,9258900317.0,Delhi,Delhi,Lost,Website,22/01/2025
Sanjay Patel,lead725@example.com,,Pune,Telangana,Qualified,Social Media,2025-09-30
Priya Patel,lead250@example.com,,Delhi,Kerala,Lost,Website,2026/06/18
Vikram Reddy,lead571@example.com,9361382212.0,Delhi,Delhi,Qualified,Google Ads,24/05/2025
Megha Singh,lead321@example.com,9265576082.0,Pune,Karnataka,Lost,Social Media,24/12/2025
Neha Singh,lead816@example.com,9652776171.0,Mumbai,Telangana,Qualified,Google Ads,27-05-2025
Megha Verma,lead344@example.com,9157892466.0,Bengaluru,Karnataka,,Google Ads,2025-12-01
Neha Reddy,lead2@example.com,9827115300.0,,Karnataka,Qualified,Website,05-03-2025
Neha Joshi,lead892@example.com,9593265748.0,Pune,Kerala,Lost,Website,14/03/2026
Priya Kumar,,,Kochi,Delhi,Qualified,Social Media,2025/12/07
Megha Reddy,lead259@example.com,9572265128.0,Mumbai,Telangana,Follow Up,Website,25-08-2025
Vikram Verma,lead37@example.com,9529188146.0,Delhi,Maharashtra,Qualified,Website,21/04/2025
Priya Thapa,lead534@example.com,9990989525.0,Mumbai,Telangana,Lost,Website,2025/08/09
Vikram Sharma,lead428@example.com,9830081406.0,Mumbai,Delhi,Follow Up,Referral,15/03/2025
Rahul Joshi,lead1045@example.com,9369475188.0,Kochi,Maharashtra,Qualified,Website,05-10-2025
Priya Kumar,lead404@example.com,9425756183.0,Pune,Delhi,Lost,Google Ads,19-06-2026
Vikram Kumar,lead953@example.com,9587572528.0,,Kerala,Qualified,Social Media,2025-02-16
Priya Gupta,lead146@example.com,9575867629.0,,Delhi,Follow Up,Google Ads,30/04/2026
Amit Gupta,lead903@example.com,9370971551.0,,Kerala,New,Social Media,2025/07/06
Megha Kumar,lead741@example.com,9353177000.0,Delhi,Delhi,Lost,Social Media,17-10-2025
Megha Sharma,lead218@example.com,9247656056.0,Pune,Maharashtra,Follow Up,Website,2025-06-22
Neha Singh,lead181@example.com,9427365550.0,Bengaluru,Kerala,Qualified,Website,13/03/2025
Anjali Singh,lead625@example.com,,,Maharashtra,Qualified,Website,15-02-2025
Neha Reddy,lead1058@example.com,9483653576.0,,Maharashtra,,Referral,2025/11/25
Vikram Verma,lead1024@example.com,9857419594.0,Kochi,Delhi,Follow Up,Social Media,09/10/2025
Anjali Singh,lead92@example.com,9192798128.0,Pune,Delhi,Qualified,Website,09/12/2025
Neha Thapa,lead806@example.com,9684966933.0,Pune,Telangana,Qualified,Website,03-05-2026
Deepak Verma,lead793@example.com,9098252799.0,Mumbai,Delhi,Lost,Google Ads,2026/01/07
Amit Patel,lead829@example.com,9649848090.0,Pune,Maharashtra,,Website,21/05/2026
Rahul Sharma,lead58@example.com,9942022453.0,Pune,Maharashtra,Qualified,Social Media,2026-05-25
Anjali Thapa,lead429@example.com,9766428294.0,Bengaluru,Karnataka,Lost,Google Ads,2025/09/01
Sunita Gupta,lead395@example.com,9013382557.0,,Maharashtra,Follow Up,Referral,2025/01/16
Amit Joshi,lead443@example.com,9751625883.0,Pune,Karnataka,New,Referral,2025/10/28
Megha Gupta,lead1044@example.com,9450042939.0,Delhi,Telangana,Follow Up,Social Media,29-05-2026
Sanjay Patel,,9944900356.0,Pune,Kerala,,Website,06-08-2025
Neha Thapa,lead1068@example.com,9485840602.0,Mumbai,Karnataka,Qualified,Website,26-01-2026
Deepak Thapa,lead943@example.com,9774476447.0,Mumbai,Delhi,,Website,14/02/2025
Sanjay Sharma,lead310@example.com,9600755981.0,,Karnataka,New,Referral,02-04-2025
Deepak Kumar,lead888@example.com,9317591600.0,Pune,Kerala,Qualified,Website,22-08-2025
Neha Gupta,lead1063@example.com,9049915704.0,Delhi,Kerala,,Referral,2026/01/22
Deepak Kumar,lead694@example.com,9103345235.0,,Kerala,New,Referral,2025-06-06
Deepak Sharma,lead893@example.com,9788553173.0,Bengaluru,Maharashtra,Lost,Google Ads,23-04-2025
Anjali Patel,lead592@example.com,9366991307.0,Mumbai,Delhi,,Website,2025/09/29
Rahul Patel,lead1093@example.com,9309494594.0,Pune,Kerala,Lost,Google Ads,13-05-2025
Sunita Singh,lead576@example.com,9140849227.0,,Delhi,Qualified,Social Media,23/09/2025
Vikram Patel,lead277@example.com,9148907150.0,Kochi,Kerala,Lost,Referral,2026/03/10
Vikram Thapa,lead815@example.com,9162953062.0,Bengaluru,Delhi,New,Social Media,09/03/2025
Amit Patel,lead482@example.com,9177484413.0,Delhi,Maharashtra,New,Google Ads,2026/02/10
Sanjay Das,lead627@example.com,9341234765.0,Bengaluru,Karnataka,Lost,Social Media,2026-02-04
Amit Thapa,lead65@example.com,9067678975.0,Delhi,Kerala,Follow Up,Google Ads,2025/09/25
Sunita Singh,lead19@example.com,9597332279.0,Mumbai,Delhi,Qualified,Social Media,2025/06/17
Vikram Singh,lead496@example.com,9181460634.0,Pune,Maharashtra,Follow Up,Referral,06-02-2025
Anjali Sharma,lead411@example.com,9611532783.0,Delhi,Delhi,Lost,Social Media,27/04/2025
Priya Joshi,lead384@example.com,9921318693.0,Delhi,Delhi,Qualified,Google Ads,28-02-2025
Deepak Das,,9080047964.0,Bengaluru,Karnataka,Lost,Referral,2025-02-20
Amit Gupta,lead223@example.com,9864670281.0,Delhi,Kerala,New,Google Ads,02-01-2026
Sunita Kumar,lead692@example.com,9493705222.0,Delhi,Maharashtra,Follow Up,Google Ads,29/01/2025
Rahul Reddy,,9054389895.0,Pune,Delhi,Follow Up,Social Media,03-06-2026
Deepak Singh,lead457@example.com,9026643021.0,Kochi,Telangana,Qualified,Referral,21-05-2025
Amit Das,lead1023@example.com,9805631590.0,Bengaluru,Telangana,Lost,Referral,2025-09-09
Anjali Gupta,,9225685549.0,Delhi,Maharashtra,Follow Up,Referral,2026/02/24
Megha Sharma,lead526@example.com,9509801205.0,Bengaluru,Telangana,,Social Media,23/01/2026
Deepak Thapa,lead320@example.com,9923087429.0,Hyderabad,Telangana,Qualified,Referral,14-05-2025
Vikram Joshi,lead196@example.com,9099179485.0,Bengaluru,Telangana,,Referral,2026-02-21
Vikram Kumar,lead953@example.com,9587572528.0,,Kerala,Qualified,Social Media,02-04-2025
Anjali Sharma,lead265@example.com,9736533145.0,Mumbai,Karnataka,,Referral,09/09/2025
Vikram Reddy,lead644@example.com,9502036457.0,Hyderabad,Kerala,Qualified,Social Media,2025/10/26
Anjali Reddy,lead44@example.com,9675100481.0,Bengaluru,Karnataka,Follow Up,Website,21/12/2025
Neha Joshi,lead55@example.com,9720443527.0,,Karnataka,Follow Up,Social Media,2026/03/19
Sunita Verma,lead182@example.com,9518163496.0,Mumbai,Karnataka,,Website,2025-06-05
Vikram Gupta,lead584@example.com,9259027508.0,Hyderabad,Kerala,New,Google Ads,2025-10-06
Anjali Sharma,,9653799144.0,Pune,Telangana,Lost,Referral,21/12/2025
Amit Gupta,lead406@example.com,9976173112.0,Kochi,Telangana,New,Google Ads,2025/07/18
Sanjay Patel,,9247930244.0,Bengaluru,Delhi,Lost,Google Ads,04/04/2026
Sanjay Singh,lead894@example.com,9872870325.0,Pune,Telangana,Follow Up,Website,2025-04-28
Amit Sharma,lead775@example.com,,Delhi,Maharashtra,,Website,20-09-2025
Deepak Das,lead886@example.com,9140698114.0,,Telangana,Follow Up,Referral,06/01/2025
Anjali Singh,lead1008@example.com,9835113433.0,,Telangana,Lost,Google Ads,2025/03/19
Amit Reddy,lead949@example.com,9163967399.0,Kochi,Maharashtra,Qualified,Social Media,2025/10/10
Megha Thapa,lead1046@example.com,9601704543.0,Mumbai,Telangana,Lost,Referral,2025-05-26
Megha Joshi,lead271@example.com,9853322804.0,Hyderabad,Maharashtra,New,Website,2025-10-07
Sunita Joshi,lead824@example.com,9197230402.0,Mumbai,Telangana,Lost,Referral,08/01/2025
Megha Singh,lead638@example.com,9567853801.0,Bengaluru,Telangana,Qualified,Referral,2026/05/01
Deepak Singh,lead268@example.com,9976908844.0,Pune,Maharashtra,Follow Up,Google Ads,01/03/2025
Anjali Das,lead1025@example.com,,Mumbai,Delhi,Qualified,Website,2026-02-20
Neha Thapa,lead407@example.com,9101847068.0,Hyderabad,Delhi,Follow Up,Social Media,04/02/2026
Sanjay Singh,lead673@example.com,9291144079.0,Bengaluru,Delhi,New,Google Ads,24-05-2026
Megha Sharma,lead115@example.com,9184903883.0,Bengaluru,Karnataka,New,Google Ads,2026/04/02
Sanjay Sharma,lead201@example.com,9681708773.0,Bengaluru,Telangana,Follow Up,Website,2025-12-11
Neha Thapa,lead67@example.com,9207308868.0,Pune,Maharashtra,Follow Up,Website,02/06/2025
Priya Verma,lead850@example.com,,Pune,Telangana,,Google Ads,16-05-2026
Sanjay Joshi,lead676@example.com,9798081076.0,Bengaluru,Telangana,New,Google Ads,2026/01/09
Neha Gupta,lead357@example.com,9822066568.0,Kochi,Delhi,,Google Ads,2025/01/13
Anjali Patel,lead1@example.com,9139214599.0,,Maharashtra,Lost,Google Ads,2026/01/19
Anjali Reddy,lead668@example.com,9686429868.0,Bengaluru,Kerala,Qualified,Website,21-02-2025
Rahul Gupta,lead486@example.com,9573544489.0,Kochi,Maharashtra,New,Website,18/10/2025
Anjali Reddy,lead682@example.com,9965163415.0,Mumbai,Telangana,,Website,16-11-2025
Amit Joshi,lead558@example.com,9180733139.0,,Delhi,New,Google Ads,15-12-2025
Sunita Gupta,lead702@example.com,9009916411.0,Kochi,Karnataka,New,Google Ads,2025/12/27
Anjali Thapa,lead1054@example.com,9288805528.0,Hyderabad,Maharashtra,Follow Up,Social Media,2025/03/28
Amit Joshi,lead267@example.com,9273501099.0,Hyderabad,Kerala,New,Referral,19/02/2026
Megha Patel,lead485@example.com,9303493036.0,Kochi,Karnataka,Qualified,Social Media,2025/12/13
Sunita Singh,lead54@example.com,9728837695.0,Mumbai,Delhi,New,Google Ads,30-11-2025
Neha Thapa,lead923@example.com,9492452974.0,Mumbai,Karnataka,,Social Media,2026/03/17
Anjali Reddy,lead978@example.com,9852791222.0,Kochi,Kerala,Follow Up,Website,2025/07/19
Vikram Thapa,lead631@example.com,9745939590.0,,Delhi,Qualified,Referral,2026-03-04
Megha Gupta,lead71@example.com,9917732659.0,Mumbai,Kerala,Follow Up,Website,2025/12/31
Sanjay Patel,lead29@example.com,9407022068.0,Hyderabad,Karnataka,,Website,20-05-2026
Amit Das,lead488@example.com,9151070854.0,Mumbai,Kerala,Qualified,Google Ads,04-08-2025
Neha Kumar,lead974@example.com,9540487252.0,Kochi,Delhi,Lost,Website,30-11-2025
Amit Thapa,lead802@example.com,9570097937.0,Hyderabad,Kerala,Lost,Google Ads,2026-04-23
Anjali Joshi,lead874@example.com,9918729272.0,Bengaluru,Delhi,Follow Up,Website,31-03-2025
Deepak Singh,lead333@example.com,9607306535.0,Hyderabad,Kerala,Follow Up,Referral,14-03-2025
Anjali Singh,lead854@example.com,9744725407.0,Bengaluru,Kerala,Qualified,Website,2026-05-07
Deepak Patel,lead335@example.com,9308960088.0,Kochi,Karnataka,Qualified,Google Ads,13-04-2026
Rahul Reddy,lead224@example.com,9571289915.0,Mumbai,Telangana,New,Social Media,15-02-2026
Anjali Thapa,lead856@example.com,9682596091.0,Kochi,Telangana,Qualified,Google Ads,2025/11/03
Priya Verma,lead952@example.com,9350025048.0,Bengaluru,Telangana,New,Social Media,2025/04/22
Amit Singh,lead1002@example.com,9361943391.0,Kochi,Telangana,New,Google Ads,28-09-2025
Vikram Thapa,lead191@example.com,9890561965.0,Bengaluru,Delhi,Lost,Referral,2025/08/02
Neha Sharma,lead242@example.com,9274814796.0,Mumbai,Karnataka,Qualified,Google Ads,2025/04/18
Vikram Verma,lead282@example.com,9013554479.0,Kochi,Karnataka,Follow Up,Website,13-08-2025
Priya Joshi,lead214@example.com,9529991916.0,Mumbai,Karnataka,,Google Ads,2025/04/27
Megha Patel,lead992@example.com,9216021946.0,Bengaluru,Kerala,New,Social Media,02-02-2025
Neha Kumar,lead188@example.com,9324817783.0,Hyderabad,Kerala,Lost,Website,12/02/2025
Megha Reddy,lead657@example.com,9780270409.0,Bengaluru,Karnataka,Follow Up,Website,28/07/2025
Sanjay Kumar,lead1057@example.com,9858370348.0,Bengaluru,Karnataka,Qualified,Google Ads,2025/03/12
Vikram Sharma,,9311587021.0,,Karnataka,,Social Media,2025-12-20
Anjali Gupta,lead876@example.com,9473584499.0,Kochi,Karnataka,Lost,Referral,24/04/2025
Vikram Gupta,lead231@example.com,9418500971.0,Kochi,Karnataka,Lost,Referral,23/05/2025
Vikram Patel,lead23@example.com,9877033741.0,Delhi,Karnataka,Follow Up,Referral,2025/10/16
Megha Kumar,lead308@example.com,9737919412.0,Pune,Telangana,Follow Up,Google Ads,2026-06-07
Deepak Verma,lead607@example.com,9680011658.0,Kochi,Maharashtra,Lost,Referral,2026/05/23
Megha Verma,,,Pune,Karnataka,Follow Up,Google Ads,16-04-2026
Deepak Thapa,lead666@example.com,9176829378.0,Mumbai,Maharashtra,Lost,Google Ads,24/06/2025
Vikram Gupta,lead843@example.com,9757333441.0,Bengaluru,Kerala,Follow Up,Website,2026-06-19
Anjali Kumar,lead385@example.com,9431004978.0,Mumbai,Telangana,Qualified,Referral,06/03/2026
Sunita Reddy,lead641@example.com,9502688310.0,Delhi,Telangana,Qualified,Google Ads,2025/05/15
Amit Das,lead867@example.com,9985224297.0,Hyderabad,Kerala,Lost,Referral,2025-07-21
Amit Reddy,lead261@example.com,9803084520.0,Pune,Kerala,Qualified,Google Ads,2025/07/06
Sunita Thapa,lead670@example.com,9241291459.0,Hyderabad,Delhi,,Google Ads,24/03/2026
Sanjay Gupta,lead113@example.com,9111202981.0,Delhi,Kerala,Qualified,Website,24-12-2025
Neha Das,lead296@example.com,9293297621.0,Kochi,Telangana,Lost,Website,08/05/2025
Amit Reddy,lead847@example.com,9765029113.0,Pune,Delhi,,Referral,30/10/2025
Priya Das,lead362@example.com,9220319388.0,Bengaluru,Karnataka,Follow Up,Website,25/09/2025
Anjali Singh,lead222@example.com,9827741537.0,Hyderabad,Telangana,,Social Media,2026-06-24
Vikram Verma,lead37@example.com,9529188146.0,Delhi,Maharashtra,Qualified,Website,03/10/2025
Anjali Kumar,lead301@example.com,9280049572.0,Kochi,Kerala,New,Google Ads,2026/06/14
Amit Patel,lead361@example.com,9166803214.0,Kochi,Telangana,Qualified,Google Ads,21/02/2026
Amit Joshi,lead443@example.com,9751625883.0,Pune,Karnataka,New,Referral,15-08-2025
Sunita Sharma,lead722@example.com,9027305491.0,Mumbai,Telangana,,Social Media,2025/10/04
Deepak Sharma,lead893@example.com,9788553173.0,Bengaluru,Maharashtra,Lost,Google Ads,11-05-2026
Megha Patel,lead306@example.com,9187337607.0,Delhi,Delhi,New,Social Media,03-07-2025
Amit Das,lead845@example.com,9771339062.0,Bengaluru,Karnataka,Follow Up,Website,12/11/2025
Neha Reddy,lead340@example.com,9449501981.0,Delhi,Kerala,Qualified,Social Media,2026/05/22
Megha Reddy,lead982@example.com,9752933244.0,Kochi,Maharashtra,Lost,Social Media,07-06-2025
Anjali Sharma,lead348@example.com,9912149406.0,Kochi,Kerala,,Website,2025/12/13
Vikram Gupta,lead6@example.com,9956758121.0,Bengaluru,Kerala,Qualified,Google Ads,13/09/2025
Priya Das,lead739@example.com,9362996815.0,Bengaluru,Delhi,Qualified,Google Ads,06/06/2026
Vikram Sharma,lead40@example.com,9995786925.0,Kochi,Karnataka,Qualified,Referral,07-06-2026
Vikram Gupta,,9001023916.0,,Karnataka,Follow Up,Website,22/05/2026
Vikram Reddy,lead910@example.com,9237089719.0,Mumbai,Karnataka,,Referral,20/04/2026
Anjali Sharma,lead693@example.com,9270475537.0,Mumbai,Karnataka,Follow Up,Social Media,2025-12-21
Priya Thapa,lead1012@example.com,9098034800.0,,Kerala,Lost,Referral,24-02-2025
Amit Thapa,lead193@example.com,9650309390.0,Delhi,Delhi,Qualified,Google Ads,2026-04-26
Vikram Singh,lead995@example.com,9760124896.0,Bengaluru,Maharashtra,,Google Ads,2026-06-18
Megha Kumar,lead977@example.com,9595354881.0,Hyderabad,Kerala,New,Website,2026-06-18
Sanjay Verma,lead11@example.com,9774155231.0,Pune,Maharashtra,Follow Up,Referral,2025/02/12
Deepak Gupta,lead309@example.com,9299841087.0,Pune,Delhi,Lost,Social Media,2026/05/15
Sanjay Reddy,lead768@example.com,9260742533.0,Bengaluru,Telangana,Lost,Website,22/08/2025
